title
Legends of the Fall
Major Payne
The Madness of King George
Mary Shelley's Frankenstein
Miracle on 34th Street
Murder in the First
Nobody's Fool
Nell
Natural Born Killers
Only You
Once Were Warriors
Outbreak
Leon: The Professional
Pulp Fiction
Quiz Show
Queen Margot
The Quick and the Dead
Three Colors: Red
Three Colors: Blue
Three Colors: White
The Swan Princess
The Specialist
Stargate
The Santa Clause
The Shawshank Redemption
Shallow Grave
Swimming with Sharks
To Live
Tank Girl
Tales from the Crypt: Demon Knight
Star Trek: Generations
Village of the Damned
Tommy Boy
What's Eating Gilbert Grape
Virtuosity
While You Were Sleeping
Muriel's Wedding
Ace Ventura: Pet Detective
"The Adventures of Priscilla, Queen of the Desert"
Bitter Moon
Bullets Over Broadway
Clear and Present Danger
The Client
"Corrina, Corrina"
The Crow
Forrest Gump
Four Weddings and a Funeral
It Could Happen to You
The Jungle Book
The Lion King
Little Buddha
New Nightmare
The Mask
Maverick
The Naked Gun 33⅓: The Final Insult
Reality Bites
Red Rock West
Ri¢hie Ri¢h
The River Wild
Speed
Timecop
True Lies
When a Man Loves a Woman
Wolf
Wyatt Earp
"Faster, Pussycat! Kill! Kill!"
In the Mouth of Madness
Addams Family Values
The Age of Innocence
Airheads
Beverly Hills Cop III
Black Beauty
Blown Away
Body Snatchers
A Bronx Tale
Carlito's Way
Cliffhanger
Color of Night
Dave
Dazed and Confused
Demolition Man
Farewell My Concubine
Fearless
With Honors
For Love or Money
The Firm
Free Willy
Fresh
The Fugitive
The Getaway
Hard Target
Heaven & Earth
Hot Shots! Part Deux
The Englishman Who Went Up a Hill But Came Down a Mountain
The House of the Spirits
The Hudsucker Proxy
In the Line of Fire
In the Name of the Father
What's Love Got to Do with It
Judgment Night
Jurassic Park
Kalifornia
Killing Zoe
Lassie
Last Action Hero
Made in America
Malice
The Man without a Face
Manhattan Murder Mystery
Menace II Society
Executive Decision
In the Realm of the Senses
Much Ado About Nothing
Mrs. Doubtfire
Naked
No Escape
Orlando
A Perfect World
Philadelphia
The Piano
The Ref
The Remains of the Day
Renaissance Man
Rising Sun
Robin Hood: Men in Tights
Romper Stomper
Rudy
Schindler's List
Searching for Bobby Fischer
The Secret Garden
Serial Mom
The Shadow
Shadowlands
Short Cuts
Six Degrees of Separation
Sleepless in Seattle
Blade Runner
Son in Law
So I Married an Axe Murderer
Striking Distance
Surviving the Game
Threesome
The Nightmare Before Christmas
The Three Musketeers
Tombstone
True Romance
The Pagemaster
Welcome to the Dollhouse
Cronos
Kika
"Ciao, Professore!"
The Little Rascals
The Brady Bunch Movie
Home Alone
Ghost
Aladdin
Terminator 2: Judgment Day
Dances with Wolves
Batman
The Silence of the Lambs
Snow White and the Seven Dwarfs
Beauty and the Beast
Pinocchio
Pretty Woman
The Wild Bunch
One Fine Day
Fargo
Homeward Bound II: Lost in San Francisco
Heavy Metal
Jane Eyre
The Aristocats
The Last Supper
Primal Fear
Land and Freedom
Sgt. Bilko
Diabolique
"Little Indian, Big City"
Courage Under Fire
Mission: Impossible
DragonHeart
Purple Noon
James and the Giant Peach
Fear
Underground
Pather Panchali
Mystery Science Theater 3000: The Movie
Space Jam
Barbarella
Alphaville
The Substitute
The Quest
Mulholland Falls
The Truth About Cats & Dogs
Oliver & Company
Flipper
Dead Man
The Visitors
Multiplicity
The Craft
The Rock
Cemetery Man
Twister
Ghost in the Shell
Thinner
A Close Shave
The Arrival
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Ashes of Time
Stalingrad
Jack
Trainspotting
Independence Day
Stealing Beauty
The Fan
The Hunchback of Notre Dame
The Cable Guy
Kingpin
Eraser
The Nutty Professor
Daylight
The Frighteners
Lone Star
Phenomenon
She's the One
A Time to Kill
The First Wives Club
Ransom
High School High
Chain Reaction
Matilda
Emma
The Crow: City of Angels
Eyes Without a Face
Escape from L.A.
Basquiat
Tin Cup
The Godfather
Police Story 3: Supercop
Bound
The Relic
Bulletproof
The Land Before Time III: The Time of the Great Giving
The Philadelphia Story
Singin' in the Rain
An American in Paris
Funny Face
Breakfast at Tiffany's
Vertigo
Rear Window
It Happened One Night
Gaslight
North by Northwest
The Apartment
Some Like It Hot
Charade
Casablanca
The Maltese Falcon
My Fair Lady
Sabrina
Roman Holiday
Meet Me in St. Louis
The Wizard of Oz
Gone with the Wind
Sunset Boulevard
Citizen Kane
2001: A Space Odyssey
All About Eve
Rebecca
Foreign Correspondent
Notorious
Spellbound
An Affair to Remember
To Catch a Thief
Ninotchka
Love in the Afternoon
Gigi
The Adventures of Robin Hood
Laura
The Ghost and Mrs. Muir
Top Hat
To Be or Not to Be
My Man Godfrey
Giant
East of Eden
The Thin Man
His Girl Friday
Around the World in Eighty Days
It's a Wonderful Life
Mr. Smith Goes to Washington
Bringing Up Baby
The 39 Steps
Night of the Living Dead
The African Queen
Cat on a Hot Tin Roof
Meet John Doe
Fly Away Home
Maximum Risk
Michael Collins
Last Man Standing
Set It Off
2 Days in the Valley
Extreme Measures
D3: The Mighty Ducks
The Chamber
Escape to Witch Mountain
The Love Bug
Herbie Rides Again
Old Yeller
The Parent Trap
Homeward Bound: The Incredible Journey
Swiss Family Robinson
"20,000 Leagues Under the Sea"
Cool Runnings
Angels in the Outfield
Cinderella
The Three Caballeros
The Sword in the Stone
Robin Hood: Prince of Thieves
Mary Poppins
Dumbo
Pete's Dragon
Bedknobs and Broomsticks
Alice in Wonderland
The Fox and the Hound
Freeway
The Sound of Music
Die Hard
The Lawnmower Man
Secrets & Lies
That Thing You Do!
Beautiful Thing
The Long Kiss Goodnight
The Ghost and the Darkness
Trees Lounge
Everyone Says I Love You
Romeo + Juliet
Swingers
Sleepers
Aladdin and the King of Thieves
Willy Wonka & the Chocolate Factory
The Innocents
Sleeper
Bananas
A Fish Called Wanda
Life of Brian
Victor/Victoria
The Great Race
Bonnie and Clyde
Dial M for Murder
Dirty Dancing
Reservoir Dogs
Platoon
Weekend at Bernie's
Basic Instinct
The Doors
The Crying Game
Glengarry Glen Ross
Sophie's Choice
E.T. the Extra-Terrestrial
Days of Thunder
Top Gun
Rebel Without a Cause
A Streetcar Named Desire
Microcosmos
The Eighth Day
The People vs. Larry Flynt
On Golden Pond
The Return of the Pink Panther
Drop Dead Fred
The Abyss
The Fog
Escape from New York
The Howling
Jean de Florette
Manon of the Spring
Private Benjamin
Monty Python and the Holy Grail
When We Were Kings
The Wrong Trousers
The Tin Drum
Cinema Paradiso
"The Cook, the Thief, His Wife & Her Lover"
Delicatessen
The Double Life of Veronique
Paths of Glory
The Grifters
The English Patient
Mediterraneo
My Left Foot: The Story of Christy Brown
"Sex, Lies, and Videotape"
Strictly Ballroom
The Thin Blue Line
Tie Me Up! Tie Me Down!
Paris is Burning
One Flew Over the Cuckoo's Nest
Up in Smoke
The Empire Strikes Back
The Princess Bride
Raiders of the Lost Ark
Brazil
Aliens
"The Good, the Bad and the Ugly"
Withnail & I
12 Angry Men
Lawrence of Arabia
A Clockwork Orange
To Kill a Mockingbird
Apocalypse Now
Once Upon a Time in the West
Return of the Jedi
Wings of Desire
The Third Man
GoodFellas
Alien
Army of Darkness
The Big Blue
Ran
The Killer
Psycho
The Blues Brothers
The Godfather: Part II
Full Metal Jacket
A Grand Day Out
Henry V
Amadeus
The Quiet Man
Once Upon a Time in America
Raging Bull
Annie Hall
The Right Stuff
Stalker
Das Boot
The Sting
Harold and Maude
The Seventh Seal
Local Hero
The Terminator
Braindead
Glory
Rosencrantz & Guildenstern Are Dead
Manhattan
Miller's Crossing
Dead Poets Society
The Graduate
Touch of Evil
La Femme Nikita
The Bridge on the River Kwai
8½
Chinatown
The Day the Earth Stood Still
The Treasure of the Sierra Madre
Bad Taste
Duck Soup
Better Off Dead...
The Shining
Stand by Me
M
Evil Dead II
The Great Escape
The Deer Hunter
Groundhog Day
Unforgiven
The Manchurian Candidate
Pump up the Volume
Arsenic and Old Lace
Back to the Future
Fried Green Tomatoes
Patton
Down by Law
Akira
Highlander
Cool Hand Luke
Cyrano de Bergerac
Young Frankenstein
Night on Earth
Raise the Red Lantern
The Great Dictator
Fantasia
High Noon
The Big Sleep
Heathers
Somewhere in Time
Ben-Hur
This Is Spinal Tap
Koyaanisqatsi
Some Kind of Wonderful
Indiana Jones and the Last Crusade
Being There
Gandhi
The Unbearable Lightness of Being
A Room with a View
Real Genius
Pink Floyd: The Wall
The Killing Fields
My Life as a Dog
Forbidden Planet
Field of Dreams
The Man Who Would Be King
Butch Cassidy and the Sundance Kid
"Paris, Texas"
When Harry Met Sally...
Alien³
An American Werewolf in London
Amityville II: The Possession
The Amityville Horror
April Fool's Day
The Birds
The Blob
Dracula
Bride of Frankenstein
Burnt Offerings
Candyman
Cape Fear
Cape Fear
Carrie
Cat People
A Nightmare on Elm Street
Nosferatu
The Omen
Breaking the Waves
Nightwatch
Star Trek: First Contact
Shine
Sling Blade
Jingle All the Way
The Preacher's Wife
The Crucible
101 Dalmatians
Die Hard 2
Star Trek: The Motion Picture
Star Trek VI: The Undiscovered Country
Star Trek V: The Final Frontier
Star Trek II: The Wrath of Khan
Star Trek III: The Search for Spock
Star Trek IV: The Voyage Home
Batman Returns
Young Guns
Young Guns II
Grease
Marked for Death
Under Siege
Jaws
Jaws 2
Mars Attacks!
Jerry Maguire
Raising Arizona
Sneakers
Marvin's Room
Beavis and Butt-Head Do America
Scream
The Last of the Mohicans
Michael
Hamlet
Evita
Walkabout
Murder at 1600
Fierce Creatures
Turbulence
First Strike
Beverly Hills Ninja
Metro
Dante's Peak
Benny & Joon
Gridlock'd
Waiting for Guffman
The Beautician and the Beast
Fools Rush In
Absolute Power
Vegas Vacation
Lost Highway
Donnie Brasco
Private Parts
The Saint
Smilla's Sense of Snow
Crash
Liar Liar
Selena
The Devil's Own
Grosse Pointe Blank
Romy and Michele's High School Reunion
Volcano
Austin Powers: International Man of Mystery
Breakdown
Fathers' Day
The Fifth Element
Addicted to Love
Brassed Off
The Lost World: Jurassic Park
Con Air
Hercules
My Best Friend's Wedding
Contempt
Face/Off
Men in Black
Contact
G.I. Jane
Conan the Barbarian
George of the Jungle
Cop Land
Event Horizon
Air Bud
Picture Perfect
Free Willy 3: The Rescue
Conspiracy Theory
Desperate Measures
Mimic
Money Talks
Excess Baggage
Air Force One
One Eight Seven
The Hunt for Red October
My Own Private Idaho
In & Out
The Edge
The Peacemaker
L.A. Confidential
Seven Years in Tibet
Kiss the Girls
Wishmaster
The Game
U Turn
The Ice Storm
Chasing Amy
The Full Monty
I Know What You Did Last Summer
The Devil's Advocate
Gattaca
Phantoms
A Life Less Ordinary
Switchback
Stripes
Bean
Mad City
The Rainmaker
Boogie Nights
Witness
Starship Troopers
Sliding Doors
The Truman Show
Red Corner
The Jackal
Anastasia
The Man Who Knew Too Little
Alien: Resurrection
Amistad
Deconstructing Harry
Flubber
Good Will Hunting
Home Alone 3
Midnight in the Garden of Good and Evil
MouseHunt
Scream 2
The Sweet Hereafter
Titanic
Tomorrow Never Dies
The Postman
The Horse Whisperer
Jackie Brown
Kundun
The Big Lebowski
Great Expectations
Senseless
Wag the Dog
Dark City
Hard Rain
Half Baked
Fallen
Fallen Angels
Deep Rising
The Replacement Killers
The Night Flier
Blues Brothers 2000
The Wedding Singer
Sphere
As Good as It Gets
King of New York
U.S. Marshals
Suicide Kings
The Man in the Iron Mask
Wild Things
Paulie
Fireworks
Primary Colors
The Object of My Affection
Mercury Rising
The Spanish Prisoner
City of Angels
He Got Game
Live Flesh
Zero Effect
The Borrowers
Mr. Nice Guy
Taste of Cherry
The Big Hit
Les Misérables
Deep Impact
Quest for Camelot
Godzilla
Bulworth
Fear and Loathing in Las Vegas
The Opposite of Sex
Almost Heroes
Hope Floats
Insomnia
A Perfect Murder
Six Days Seven Nights
Can't Hardly Wait
Children of Heaven
Mulan
The X Files
Doctor Dolittle
Out of Sight
Picnic at Hanging Rock
Buffalo '66
Armageddon
Lethal Weapon 4
Small Soldiers
Pi
There's Something About Mary
Wings
All Quiet on the Western Front
Grand Hotel
Mutiny on the Bounty
You Can't Take It With You
How Green Was My Valley
The Lost Weekend
The Best Years of Our Lives
All the King's Men
The Greatest Show on Earth
From Here to Eternity
On the Waterfront
Marty
West Side Story
A Man for All Seasons
In the Heat of the Night
Oliver!
Midnight Cowboy
The French Connection
Rocky
Kramer vs. Kramer
Ordinary People
Chariots of Fire
Terms of Endearment
Out of Africa
The Last Emperor
Rain Man
Driving Miss Daisy
Take the Money and Run
Klute
Repo Man
Labyrinth
The Breakfast Club
A Nightmare on Elm Street Part 2: Freddy's Revenge
A Nightmare on Elm Street 3: Dream Warriors
A Nightmare on Elm Street 4: The Dream Master
A Nightmare on Elm Street 5: The Dream Child
Freddy's Dead: The Final Nightmare
Friday the 13th
Friday the 13th Part 2
Friday the 13th Part III
Friday the 13th: The Final Chapter
Friday the 13th: A New Beginning
Friday the 13th Part VI: Jason Lives
Friday the 13th Part VII: The New Blood
Halloween
Halloween II
Halloween 4: The Return of Michael Myers
Halloween 5: The Revenge of Michael Myers
Prom Night
Child's Play
Child's Play 2
Child's Play 3
Poltergeist
Poltergeist II: The Other Side
The Exorcist
The Exorcist III
Lethal Weapon
Lethal Weapon 2
Lethal Weapon 3
Gremlins
Gremlins 2: The New Batch
The Goonies
The Mask of Zorro
Soylent Green
Metropolis
Back to the Future Part II
Back to the Future Part III
The Poseidon Adventure
Freaky Friday
Bambi
Seven Samurai
Dangerous Liaisons
Dune
The Last Temptation of Christ
The Godfather: Part III
Lolita
Disturbing Behavior
Jane Austen's Mafia!
Saving Private Ryan
The Black Cauldron
The Black Hole
Blank Check
D2: The Mighty Ducks
Flight of the Navigator
The Great Mouse Detective
Herbie Goes To Monte Carlo
Hocus Pocus
"Honey, I Shrunk the Kids"
The Negotiator
The Parent Trap
BASEketball
Roger & Me
The Purple Rose of Cairo
Out of the Past
Doctor Zhivago
Fanny & Alexander
The 'Burbs
The Night Porter
Blue Velvet
The Jungle Book
Lady and the Tramp
The Little Mermaid
The Mighty Ducks
The Muppet Christmas Carol
Newsies
One Hundred and One Dalmatians
Peter Pan
Popeye
The Rescuers Down Under
The Rescuers
The Return of Jafar
Return to Oz
The Rocketeer
Sleeping Beauty
Song of the South
Splash
Steamboat Willie
Tron
Swing Kids
Halloween: H20
L.A. Story
The Jerk
Dead Men Don't Wear Plaid
The Man with Two Brains
Grand Canyon
The Outsiders
Indiana Jones and the Temple of Doom
The Lord of the Rings
Nineteen Eighty-Four
The Dead Zone
Maximum Overdrive
Needful Things
Cujo
Children of the Corn
All Dogs Go to Heaven
The Addams Family
Ever After: A Cinderella Story
Snake Eyes
Atlantic City
Autumn Sonata
Who's Afraid of Virginia Woolf?
Adventures in Babysitting
Weird Science
The Nutty Professor
Charlotte's Web
Watership Down
The Secret of NIMH
The Dark Crystal
An American Tail
An American Tail: Fievel Goes West
Legend
Sixteen Candles
Pretty in Pink
St. Elmo's Fire
House
The Gods Must Be Crazy
The Gods Must Be Crazy II
Henry: Portrait of a Serial Killer
Rosemary's Baby
The NeverEnding Story
The Neverending Story II: The Next Chapter
Blade
Wrongfully Accused
Beetlejuice
Rope
Family Plot
Frenzy
Topaz
Torn Curtain
Marnie
The Wrong Man
The Man Who Knew Too Much
The Trouble with Harry
I Confess
Strangers on a Train
Stage Fright
54
Willow
The Untouchables
Dirty Work
Lifeboat
Shadow of a Doubt
Saboteur
Suspicion
The Lady Vanishes
Sabotage
The Man Who Knew Too Much
Rounders
Cube
Simon Birch
Broadcast News
Working Girl
Married to the Mob
Say Anything...
My Blue Heaven
Hero
One Crazy Summer
About Last Night...
The Seventh Sign
We're No Angels
A Few Good Men
Indecent Proposal
Rush Hour
Ronin
Urban Legend
Pecker
The Sheltering Sky
If....
Them!
The Thing
The Player
Stardust Memories
Edward Scissorhands
Antz
A Night at the Roxbury
What Dreams May Come
The Producers
History of the World: Part I
My Cousin Vinny
Nashville
The Mighty
2010
Children of a Lesser God
The Elephant Man
Bride of Chucky
Practical Magic
Happiness
Apt Pupil
Pleasantville
Soldier
Life Is Beautiful
Orgazmo
Tales from the Darkside: The Movie
Vampires
American History X
Gods and Monsters
The Siege
The Waterboy
Elizabeth
Velvet Goldmine
I Still Know What You Did Last Summer
I'll Be Home for Christmas
Meet Joe Black
Runaway Train
The Stepford Wives
Sid & Nancy
Mona Lisa
Nights of Cabiria
The Big Chill
Enemy of the State
The Rugrats Movie
A Bug's Life
Celebrity
Central Station
Waking Ned
The Celebration
Pink Flamingos
Godzilla
King Kong
King Kong
Desperately Seeking Susan
The Emerald Forest
Fletch
Fletch Lives
The Money Pit
A View to a Kill
Lifeforce
Police Academy
Police Academy 2: Their First Assignment
Police Academy 3: Back in Training
Babe: Pig in the City
Very Bad Things
Little Voice
A Simple Plan
Jack Frost
Star Trek: Insurrection
The Prince of Egypt
Rushmore
Shakespeare in Love
Miracle on 34th Street
Santa Claus: The Movie
Pale Rider
Rambo: First Blood Part II
First Blood
Rambo III
The Jewel of the Nile
Romancing the Stone
Cocoon
Cocoon: The Return
Rocky II
Rocky III
Rocky IV
Rocky V
Clue
Young Sherlock Holmes
Back to School
The Karate Kid
"The Karate Kid, Part II"
"The Karate Kid, Part III"
National Lampoon's Christmas Vacation
You've Got Mail
The Thin Red Line
The Faculty
Mighty Joe Young
Patch Adams
Stepmom
A Civil Action
Wilde
Affliction
Varsity Blues
Howard the Duck
The Gate
The Fly
The Fly
The Fly II
Running Scared
The Texas Chain Saw Massacre
The Texas Chainsaw Massacre 2
Leatherface: Texas Chainsaw Massacre III
Ruthless People
Deadly Friend
The Name of the Rose
Jumpin' Jack Flash
Peggy Sue Got Married
Crocodile Dundee
Crocodile Dundee II
The Color of Money
Heartbreak Ridge
¡Three Amigos!
The Day of the Beast
She's All That
Peeping Tom
Payback
Simply Irresistible
Fantastic Planet
Blast from the Past
Message in a Bottle
My Favorite Martian
Jawbreaker
October Sky
Office Space
8MM
The Long Goodbye
Pet Sematary
Christine
House on Haunted Hill
Airport
Airport 1975
Airport '77
The Towering Inferno
Alligator
Westworld
Logan's Run
Planet of the Apes
Beneath the Planet of the Apes
Battle for the Planet of the Apes
Conquest of the Planet of the Apes
Escape from the Planet of the Apes
Earthquake
Analyze This
The Corruptor
Cruel Intentions
"Lock, Stock and Two Smoking Barrels"
The Deep End of the Ocean
The Rage: Carrie 2
The Haunting
Dead Ringers
Village of the Damned
I Stand Alone
Forces of Nature
Ravenous
True Crime
Dangerous Beauty
The King and I
Edtv
The Matrix
10 Things I Hate About You
Following
Go
Never Been Kissed
Twin Dragons
Lovers of the Arctic Circle
Life
The Monster
Open Your Eyes
SLC Punk
Pushing Tin
Election
eXistenZ
Entrapment
Idle Hands
Mildred Pierce
Night of the Comet
Chopping Mall
Dick Tracy
The Mummy
The Castle
A Midsummer Night's Dream
Black Mask
Star Wars: Episode I - The Phantom Menace
The Mummy
The Mummy
Mommie Dearest
Superman
Superman II
Superman III
Dracula
Frankenstein
The Curse of Frankenstein
The Wolf Man
Tarantula
The Rocky Horror Picture Show
The Thing from Another World
It Came from Outer Space
The War of the Worlds
Invasion of the Body Snatchers
Swamp Thing
Notting Hill
The Thirteenth Floor
Instinct
Buena Vista Social Club
Austin Powers: The Spy Who Shagged Me
The Red Violin
Tarzan
The General's Daughter
The Legend of 1900
Run Lola Run
Big Daddy
The Dinner Game
Arachnophobia
"South Park: Bigger, Longer & Uncut"
Wild Wild West
Summer of Sam
American Pie
Arlington Road
Muppets from Space
The Blair Witch Project
Eyes Wide Shut
Lake Placid
Ghostbusters
Ghostbusters II
Drop Dead Gorgeous
The Haunting
Deep Blue Sea
Mystery Men
Runaway Bride
The Killing
Killer's Kiss
Spartacus
Lolita
Barry Lyndon
The 400 Blows
Jules and Jim
The Mosquito Coast
The Golden Child
The Color Purple
The Mission
Little Shop of Horrors
The Little Shop of Horrors
Radio Days
Dick
The Iron Giant
The Sixth Sense
The Thomas Crown Affair
The Thomas Crown Affair
The Yards
Bowfinger
Brokedown Palace
Detroit Rock City
Heaven Can Wait
The Raven
The Pit and the Pendulum
The Masque of the Red Death
Cat's Eye
And Now for Something Completely Different
Damien: Omen II
Omen III: The Final Conflict
Airplane!
Airplane II: The Sequel
An American Werewolf in Paris
National Lampoon’s European Vacation
National Lampoon's Vacation
Funny Farm
Big
Problem Child
Problem Child 2
Tequila Sunrise
The Pelican Brief
A Christmas Story
Mickey Blue Eyes
Teaching Mrs. Tingle
Universal Soldier
Perfect Blue
Three Days of the Condor
Medicine Man
The 13th Warrior
The Astronaut's Wife
Stigmata
Stir of Echoes
"Black Cat, White Cat"
The Adventures of Milo and Otis
A Soldier's Story
Alice Sweet Alice
Yellow Submarine
American Beauty
Blue Streak
For Love of the Game
Caligula
A Hard Day's Night
Fright Night
Fright Night Part 2
Barefoot in the Park
Deliverance
Excalibur
Sommersby
Thumbelina
Tommy
Armour of God II: Operation Condor
Armour of God
Double Jeopardy
Jakob the Liar
Drive Me Crazy
"Mystery, Alaska"
Three Kings
The Dark Half
Monkey Shines
Phantasm
Psycho II
Psycho III
Sanjuro
Random Hearts
Boys Don't Cry
The Limey
Risky Business
Total Recall
Body Heat
Ferris Bueller's Day Off
The Year of Living Dangerously
Children of Paradise
High Plains Drifter
Hang 'em High
Drunken Master
The Conformist
Hairspray
Brief Encounter
Reds
Time of the Gypsies
Days of Heaven
The Lady Eve
Sullivan's Travels
Niagara
Gilda
Flashdance
The Dirty Dozen
Help!
Goldfinger
From Russia with Love
Dr. No
The Blue Lagoon
A Fistful of Dollars
Hard Eight
Home Alone 2: Lost in New York
Fight Club
The Story of Us
Fever Pitch
The Straight Story
The Bad Seed
Time Bandits
Fitzcarraldo
All That Jazz
Crimes and Misdemeanors
Bringing Out the Dead
Three to Tango
The Ipcress File
RoboCop
RoboCop 2
Who Framed Roger Rabbit
For Your Eyes Only
Licence to Kill
Live and Let Die
Thunderball
House on Haunted Hill
Being John Malkovich
Princess Mononoke
The Bone Collector
The Insider
American Movie
Rosetta
"They Shoot Horses, Don't They?"
Bride of Re-Animator
Coma
Creepshow
Creepshow 2
Re-Animator
Drugstore Cowboy
Falling Down
The Funhouse
The General
Piranha
Nighthawks
Yojimbo
The Omega Man
Spaceballs
Robin Hood
Quest for Fire
Little Big Man
Trading Places
Meatballs
Dead Again
Anywhere But Here
Dogma
The Messenger: The Story of Joan of Arc
Pokémon: The First Movie: Mewtwo Strikes Back
The Commitments
Holiday Inn
The Longest Day
Poison Ivy
Tora! Tora! Tora!
Women on the Verge of a Nervous Breakdown
The Verdict
The Adventures of Buckaroo Banzai Across the 8th Dimension
Stand and Deliver
Moonstruck
Jeremiah Johnson
Repulsion
Irma la Douce
Mansfield Park
Sleepy Hollow
The World Is Not Enough
All About My Mother
Scrooged
Harvey
Bicycle Thieves
Kagemusha
McCabe & Mrs. Miller
Maurice
The Grapes of Wrath
The Shop Around the Corner
The Natural
A River Runs Through It
Fatal Attraction
Jagged Edge
Midnight Run
Awakenings
Backdraft
The Fisher King
End of Days
Toy Story 2
Flawless
A Bay of Blood
The Distinguished Gentleman
The End of the Affair
Sweet and Lowdown
The Bonfire of the Vanities
Grand Illusion
Deuce Bigalow: Male Gigolo
The Green Mile
The Cider House Rules
The War Zone
The Last Picture Show
The 7th Voyage of Sinbad
Anna and the King
Bicentennial Man
Stuart Little
Fantasia 2000
Magnolia
Easy Rider
Any Given Sunday
Man on the Moon
Galaxy Quest
The Talented Mr. Ripley
Next Friday
The Hurricane
Angela's Ashes
Play It to the Bone
Titus
"Girl, Interrupted"
My Dog Skip
The Way We Were
Stalag 17
The Presidio
Papillon
The Last Detail
Five Easy Pieces
Dead Calm
The Boys from Brazil
Black Sunday
National Lampoon's Loaded Weapon 1
Fast Times at Ridgemont High
Batman: Mask of the Phantasm
Pacific Heights
Woman in the Dunes
Encino Man
Malcolm X
Sister Act
Sister Act 2: Back in the Habit
The Hand that Rocks the Cradle
Alive
Scent of a Woman
Wayne's World
Wayne's World 2
A League of Their Own
Patriot Games
The Bodyguard
Death Becomes Her
Far and Away
Howards End
Singles
Twin Peaks: Fire Walk with Me
White Men Can't Jump
Buffy the Vampire Slayer
Hard Boiled
Man Bites Dog
El Mariachi
Forever Young
The Cutting Edge
Of Mice and Men
Bad Lieutenant
Scream 3
Single White Female
The Boondock Saints
The Beach
The Tigger Movie
"To Sir, with Love"
Boiler Room
Pitch Black
The Whole Nine Yards
The Circus
City Lights
The Kid
Reindeer Games
Wonder Boys
Ghost Dog: The Way of the Samurai
Key Largo
Cross of Iron
Birdy
Mission to Mars
The Ninth Gate
Defending Your Life
Breaking Away
Hoosiers
Bull Durham
Dog Day Afternoon
American Graffiti
The Asphalt Jungle
The Searchers
The Big Country
On the Beach
The Taking of Pelham One Two Three
JFK
Who's Harry Crumb?
Harry and the Hendersons
Who's That Girl
She-Devil
Blind Date
The Muppet Movie
The Great Muppet Caper
The Muppets Take Manhattan
We're Back! A Dinosaur's Story
Erin Brockovich
Final Destination
The Bear
Mirror
Thelma & Louise
...And Justice for All
Animal House
Do the Right Thing
Jungle Fever
Coogan's Bluff
Death Wish
Death Wish 2
Death Wish 3
Death Wish 4: The Crackdown
Double Indemnity
Dying Young
Teenage Mutant Ninja Turtles
Teenage Mutant Ninja Turtles II: The Secret of the Ooze
Teenage Mutant Ninja Turtles III
Red Dawn
Bloodsport
"Good Morning, Vietnam"
Grumpy Old Men
Guess Who's Coming to Dinner
Romeo Must Die
Lord of the Flies
Modern Times
Heart and Souls
Hud
The Hustler
Inherit the Wind
Dersu Uzala
